id,category,headline,claim,verdict,verdict_class,credibility_score,bias_rating,fact_checker,verification_date,sources,detailed_analysis,tags
NEWS-011,Politics & Elections,United Nations announces global treaty establishing compulsory digital biometric passports for all internet users,The UN passed a binding resolution requiring all citizens to provide retinal biometric data before accessing social media.,False & Fabricated,badge-fake,4,Conspiracy Framing,Reuters Fact Check,2024-05-19,United Nations General Assembly Voting Records & Documentation | International Telecommunication Union (ITU) charters | PolitiFact Global Politics Fact Check,"No such UN resolution or treaty exists. The claim misrepresents exploratory policy papers discussing digital public infrastructure and identity development goals, none of which propose biometric internet gating.","un, biometrics, conspiracy, digital-id, censorship"
NEWS-012,Politics & Elections,Sweden formally joins NATO as 32nd member following Hungarian ratification,Sweden officially completed the accession process to become the 32nd member state of the North Atlantic Treaty Organization.,Verified & Accurate,badge-credible,99,Neutral,AP News,2024-03-07,NATO Official Press Release — Sweden officially joins NATO | U.S. Department of State Treaty Deposit Registry | Government Offices of Sweden Official Communique,"Swedish Prime Minister Ulf Kristersson deposited the instrument of accession with the United States government in Washington, ending over 200 years of military non-alignment.","nato, sweden, geopolitics, defense, international-relations"
NEWS-013,Politics & Elections,Election ballot sorting machine in swing district programmed to flip votes between candidates automatically,Leaked source code proves Dominion voting machines alter 15% of ballots to favor a predetermined political candidate.,False & Fabricated,badge-fake,6,Partisan Misinformation,FactCheck.org,2024-09-02,U.S. Cybersecurity and Infrastructure Security Agency (CISA) Joint Statement | Georgia Secretary of State Hand-Count Audit Reports | Court filings & settlements in Dominion Voting Systems v. Fox News Network,"Extensive forensic audits, bipartisan risk-limiting manual hand recounts, and rigorous testing by federal and state election boards have debunked claims of systemic vote-flipping code algorithms.","elections, voting-machines, conspiracy, cisa"
NEWS-014,Politics & Elections,International Criminal Court issues arrest warrant for Israeli Prime Minister Benjamin Netanyahu and defense officials,ICC Chief Prosecutor Karim Khan applied for and the ICC Pre-Trial Chamber considered arrest warrants regarding the Gaza conflict.,Verified & Accurate,badge-credible,93,Neutral,BBC News,2024-05-20,International Criminal Court (ICC) — Statement of ICC Prosecutor Karim A.A. Khan KC | United Nations Press Briefing on International Legal Precedents | Haaretz & Reuters International Law Coverage,"ICC Prosecutor Karim Khan publicly filed applications for arrest warrants before Pre-Trial Chamber I against Benjamin Netanyahu, Yoav Gallant, and leaders of Hamas for war crimes and crimes against humanity.","icc, israel, gaza, middle-east, international-law"
NEWS-015,Politics & Elections,US Congress quietly passed law making it a federal felony to criticize the national flag on social media,A newly enacted bipartisan bill penalizes negative social media posts about the American flag with up to 5 years imprisonment.,False & Fabricated,badge-fake,3,Outrage Clickbait,PolitiFact,2024-07-15,Congress.gov Legislative Database — No such statute introduced or passed | U.S. Supreme Court Precedent — Texas v. Johnson (1989) First Amendment protections | Congressional Research Service Legal Summaries,No such legislation was passed. The U.S. Supreme Court firmly established in Texas v. Johnson and United States v. Eichman that speech regarding national symbols is protected under the First Amendment.,"first-amendment, congress, flag-desecration, constitutional-law"
NEWS-016,Climate & Environment,Copernicus Climate Change Service confirms 2024 set record as hottest year in recorded history,"Global climate data confirmed 2024 was the warmest year globally, exceeding previous temperature records set in 2023.",Verified & Accurate,badge-credible,96,Neutral,Reuters Fact Check,2025-01-09,Copernicus Climate Change Service (C3S) / ECMWF Annual Global Climate Highlights | NOAA National Centers for Environmental Information Global Climate Report | World Meteorological Organization (WMO) State of the Global Climate,"Copernicus, NOAA, and NASA meteorological datasets corroborated that global mean surface air temperatures broke historical thresholds driven by anthropogenic greenhouse emissions and strong El Niño dynamics.","climate-change, global-warming, copernicus, noaa, temperatures"
NEWS-017,Climate & Environment,Government secretly engineered Hurricane Milton using HAARP radar antennas in Alaska,The High-frequency Active Auroral Research Program (HAARP) generated and steered hurricanes toward Florida.,False & Fabricated,badge-fake,3,Conspiracy Theory,Associated Press,2024-10-09,University of Alaska Fairbanks HAARP Research Facility Technical Documentation | National Hurricane Center (NHC) Tropical Meteorology Explanations | American Meteorological Society (AMS) Statements on Weather Manipulation,"HAARP is an ionospheric research instrument with radio transmitter energy far below atmospheric scales. Tropical cyclones are driven by massive thermodynamic ocean heat content, not radio wave manipulation.","hurricanes, haarp, weather-modification, conspiracy, meteorology"
NEWS-018,Climate & Environment,Renewable energy provided over 30% of global electricity generation for the first time in 2023,"Global clean energy report showed wind, solar, and other renewables surpassed 30% of total world power production.",Verified & Accurate,badge-credible,92,Neutral,Bloomberg Green,2024-05-08,Ember Global Electricity Review 2024 | International Energy Agency (IEA) World Energy Outlook | Renewables Global Status Report (REN21),"Ember's comprehensive analysis covering 80 countries representing 92% of world electricity demand confirmed renewables supplied 30.3% of global electricity in 2023, primarily led by rapid solar and wind capacity expansion.","renewables, solar-energy, wind-power, iea, clean-tech"
NEWS-019,Climate & Environment,"Undersea volcanic eruption in Tonga caused all global warming observed since 2022, disproving carbon theory","The Hunga Tonga volcano single-handedly caused all recent atmospheric warming, proving greenhouse gases have no effect.",Likely Misleading,badge-fake,35,Climate Denial Framing,Climate Feedback / Science Feedback,2024-03-15,Nature Geoscience — Radiative forcing of the Hunga Tonga-Hunga Ha'apai eruption | IPCC Sixth Assessment Report (AR6) Synthesis | NASA Earth Observatory Atmospheric Water Vapor Observations,"While the Hunga Tonga eruption injected water vapor into the stratosphere that contributed a temporary and minor warming perturbation (+0.03°C to +0.05°C), peer-reviewed research shows long-term global warming trends are overwhelmingly driven by accumulated carbon dioxide emissions.","volcano, hunga-tonga, climate-denial, greenhouse-effect"
NEWS-020,Economy & Finance,US SEC approves 11 spot Bitcoin exchange-traded funds (ETFs) in historic regulatory shift,The Securities and Exchange Commission formally granted approval for spot Bitcoin ETFs to trade on major US exchanges.,Verified & Accurate,badge-credible,98,Neutral,Wall Street Journal,2024-01-10,U.S. Securities and Exchange Commission (SEC) Order Granting Accelerated Approval (Release No. 34-99306) | SEC Chairman Gary Gensler Public Statement | New York Stock Exchange & Cboe Official Filings,"Following a pivotal DC Circuit court ruling, the SEC approved applications from BlackRock, Fidelity, Ark Invest, and other asset managers, marking a major milestone for cryptocurrency integration into mainstream financial markets.","bitcoin, sec, crypto-etf, finance, blackrock"
NEWS-021,Economy & Finance,Federal Reserve executive order bans all physical cash transactions over $50 starting next month,The US government outlawed cash payments exceeding fifty dollars to force adoption of a government digital dollar.,False & Fabricated,badge-fake,4,Financial Fearmongering,Snopes,2024-06-25,Federal Reserve Board of Governors Regulations & Bulletins | U.S. Code Title 31 § 5103 — Legal Tender Statutes | PolitiFact Finance & Banking Verification,Federal law explicitly establishes United States coins and currency as legal tender. Neither the President nor the Federal Reserve has issued an order capping or criminalizing physical cash payments.,"cash-ban, federal-reserve, cbdc, banking-hoax"
NEWS-022,Economy & Finance,"Elon Musk launches quantum automated investment trading app guaranteeing $5,000 daily profits",Elon Musk appeared in a televised interview endorsing an algorithmic trading program that promises guaranteed passive returns.,False & Fabricated,badge-fake,2,Investment Scam / Deepfake,Reuters Fact Check,2024-08-01,FTC Consumer Advice Warnings on Deepfake Investment Scams | Tesla & X Corporate Communications | Better Business Bureau Scam Tracker,The video is an AI-manipulated deepfake that spliced authentic TV news interviews with lip-synced audio clones to funnel victims into cryptocurrency investment theft operations.,"elon-musk, crypto-scam, deepfake-ad, financial-fraud"
NEWS-023,Economy & Finance,Federal Reserve cuts interest rates by 50 basis points in first easing cycle since 2020,The US Federal Open Market Committee lowered the federal funds target rate to a range of 4.75% to 5.00%.,Verified & Accurate,badge-credible,98,Neutral,Associated Press,2024-09-18,Federal Reserve FOMC Policy Statement September 2024 | Chair Jerome H. Powell Press Conference Transcript | Federal Reserve Economic Data (FRED) Official Index,"In a 11-to-1 vote, the Federal Reserve initiated monetary easing with a half-percentage point reduction in borrowing costs as inflation moderated toward its 2 percent annual target.","federal-reserve, interest-rates, inflation, economy, fomc"
NEWS-024,Global Affairs,"Ukraine uses domestically produced aerial drones to strike Russian radar station over 1,800 km away",Ukrainian intelligence services executed a record-range drone attack targeting a long-range strategic radar in Russia's Orenburg region.,Verified & Accurate,badge-credible,89,Slight Pro-Defense Bias,Reuters Fact Check,2024-05-27,Main Directorate of Intelligence of the Ministry of Defence of Ukraine (GUR) | Planet Labs Satellite Imagery Corroboration | Institute for the Study of War (ISW) Russian Offensive Campaign Assessment,"Satellite photos and Ukrainian defense sources confirmed a Voronezh-M early-warning radar facility near Orsk was damaged by long-range modified aerial drones flying over 1,800 kilometers from Ukrainian airspace.","ukraine, russia, drones, radar, military"
NEWS-025,Global Affairs,Panama Canal permanently closed to all international commercial shipping due to water shortages,The Panama Canal Authority permanently shut down operations for all foreign cargo vessels indefinitely.,False & Fabricated,badge-fake,12,Sensationalist Alarmism,AP News,2024-04-10,Panama Canal Authority (ACP) Transit Bulletins | International Chamber of Shipping Advisory | Lloyd's List Maritime Intelligence,"While the canal instituted temporary draft limits and restricted daily vessel slots in 2023–2024 due to drought in Gatun Lake, traffic never ceased entirely and restrictions were gradually lifted as seasonal rains returned.","panama-canal, shipping, logistics, trade-hoax"
NEWS-026,Global Affairs,BRICS bloc formally adopts gold-backed common reserve currency called the 'Unit' to replace US Dollar,BRICS nations officially launched a unified circulating physical and electronic currency that ended the global role of the US Dollar.,Likely Misleading,badge-fake,30,Sensationalist Geopolitical Spin,Snopes,2024-10-24,16th BRICS Summit Kazan Declaration (October 2024) | Reserve Bank of India & South African Reserve Bank Policy Statements | Carnegie Endowment for International Peace Economic Briefings,"The 2024 Kazan declaration discussed exploring local-currency settlement systems (BRICS Pay) and correspondent networks, but leaders repeatedly noted there are no plans for a shared BRICS currency due to divergent macroeconomic and fiscal regimes.","brics, currency, dedollarization, geopolitics, russia"
NEWS-027,Global Affairs,"Taiwan Semiconductor Manufacturing Company (TSMC) opens first European chip fabrication facility in Dresden, Germany",TSMC broke ground on a €10 billion semiconductor manufacturing plant in Dresden as part of the European Chips Act initiative.,Verified & Accurate,badge-credible,97,Neutral,Bloomberg,2024-08-20,European Semiconductor Manufacturing Company (ESMC) Groundbreaking Press Release | European Commission State Aid Approval (IP/24/4283) | German Federal Chancellery Official Statements,"TSMC, in joint venture with Bosch, Infineon, and NXP, formally commenced construction of the Dresden fab, backed by €5 billion in German government subsidies approved under the EU Chips Act.","tsmc, semiconductors, germany, chips-act, tech-industry"
NEWS-028,Viral Hoaxes & Media,Disney announces live-action film starring Ryan Gosling as Rosa Parks,Walt Disney Studios greenlit a feature biopic casting Ryan Gosling to play the civil rights icon Rosa Parks.,False & Fabricated,badge-fake,1,Culture War Satire / Ragebait,Snopes,2024-03-02,The Walt Disney Company Press Releases & Film Slates | Variety & The Hollywood Reporter Production Trackers | Snopes Entertainment Fact Checks,The claim originated on satirical meme accounts designed to stir outrage regarding corporate casting decisions. No such project exists or was ever conceived.,"disney, satire, ragebait, ryan-gosling, hollywood-hoax"
NEWS-029,Viral Hoaxes & Media,Eating 14 bananas in a single sitting causes fatal potassium cardiac arrest,Bananas contain so much radioactive potassium that eating more than a dozen causes immediate heart failure.,False & Fabricated,badge-fake,8,Sensationalist Urban Legend,BBC Science Focus,2023-11-14,National Institutes of Health (NIH) Dietary Potassium Guidelines | Royal Society of Chemistry Toxicity Assessments | Mayo Clinic Cardiology Review,A healthy human body rapidly excretes excess dietary potassium through the kidneys. A person would need to ingest around 400 bananas within hours for potassium toxicity to pose a mortal threat.,"bananas, potassium, urban-legend, dietary-myth"
NEWS-030,Viral Hoaxes & Media,Taylor Swift endorses Kamala Harris for US President following presidential debate,Pop superstar Taylor Swift publicly endorsed Vice President Kamala Harris immediately following the ABC News presidential debate.,Verified & Accurate,badge-credible,99,Neutral,Associated Press,2024-09-10,Taylor Swift Verified Instagram Account Statement (@taylorswift) | Associated Press Entertainment & Politics Wire | New York Times Live Debate Coverage,"Taylor Swift posted a detailed message to her 283 million Instagram followers stating she was casting her ballot for Kamala Harris and Tim Walz, signing the post 'Childless Cat Lady'.","taylor-swift, kamala-harris, endorsement, 2024-election, celebrity"
NEWS-031,Science & Health,Microplastics discovered in human arterial plaque linked to elevated heart attack and stroke risk,A clinical study published in the New England Journal of Medicine detected microplastics and nanoplastics in carotid artery plaque of cardiovascular patients.,Verified & Accurate,badge-credible,95,Neutral,Reuters Health,2024-03-06,New England Journal of Medicine (NEJM) — Microplastics and Nanoplastics in Atheromas and Cardiovascular Events | National Institute of Environmental Health Sciences (NIEHS) Briefing | American Heart Association Scientific Commentary,"The prospective multi-center Italian study analyzed 257 patients undergoing carotid endarterectomy, detecting polyethylene and polyvinyl chloride particles in 58% of patients, who suffered significantly higher rates of myocardial infarction or death.","microplastics, cardiovascular, nejm, public-health, nanoplastics"
NEWS-032,Technology & AI,Self-driving robotaxi runs over child after software categorizes them as trash bag,An autonomous Waymo vehicle struck and killed an infant because its perception model misidentified the child as debris.,False & Fabricated,badge-fake,4,Fabricated Viral Scare,PolitiFact,2024-06-18,National Highway Traffic Safety Administration (NHTSA) Incident Database | San Francisco Police Department Traffic Collision Reports | Waymo Autonomous Safety Public Records,No such fatality occurred. The claim originated from an anonymous anti-tech thread on Reddit and was subsequently amplified with fabricated screenshots of news banners.,"waymo, robotaxi, autonomous-vehicles, tech-scare, hoax"
NEWS-033,Politics & Elections,US Supreme Court rules former presidents have broad immunity from criminal prosecution for official acts,The Supreme Court held that presidents possess absolute immunity for core constitutional duties and presumptive immunity for all official acts.,Verified & Accurate,badge-credible,98,Neutral,Associated Press,2024-07-01,Supreme Court of the United States — Trump v. United States (No. 23-939) | SCOTUSblog Analysis & Opinion Breakdown | Department of Justice Office of Legal Counsel Guidelines,"In a 6-3 ruling written by Chief Justice John Roberts, the Court established landmark presidential immunity principles distinguishing between official constitutional actions, outer boundary official duties, and unofficial private conduct.","scotus, presidential-immunity, constitution, trump-v-us, legal"
NEWS-034,Climate & Environment,World's largest coral reef restoration project achieves 90% coral cover in degraded sections of Great Barrier Reef,Scientists used automated larval bot seeding to completely restore 90% of the Great Barrier Reef.,Partially Accurate,badge-suspicious,58,Exaggerated Science PR,Australian Associated Press (AAP) FactCheck,2024-02-28,Australian Institute of Marine Science (AIMS) Annual Long-Term Monitoring Report | Great Barrier Reef Marine Park Authority (GBRMPA) Condition Update | Frontiers in Marine Science Publication,"While targeted larval seeding and nursery outplanting projects showed strong localized settlement rates at small test plots, claims that 90% of the 2,300 km reef has been restored grossly extrapolate small-scale trial data. Coral bleaching remains a severe systemic threat.","coral-reef, great-barrier-reef, marine-biology, restoration, ecology"
NEWS-035,Economy & Finance,"Nvidia briefly becomes most valuable publicly traded company in the world, surpassing Microsoft and Apple","Chipmaker Nvidia reached a market capitalization above $3.33 trillion, briefly capturing the global top valuation ranking.",Verified & Accurate,badge-credible,99,Neutral,Reuters,2024-06-18,Nasdaq Stock Market Trading Data | Bloomberg Billionaires & Market Indices | Wall Street Journal Financial Markets Desk,"Surging enterprise demand for Nvidia's H100 and Blackwell AI GPUs propelled Nvidia's stock up more than 170% in 2024, momentarily putting its market cap ahead of Microsoft ($3.32T) and Apple ($3.28T).","nvidia, stock-market, ai-hardware, market-cap, semiconductors"
NEWS-036,Science & Health,5G cell towers emit millimeter waves that directly cause COVID-19 mutations and respiratory breakdown,Wireless 5G radiation weakens human lung cells and creates viral pandemic infections.,False & Fabricated,badge-fake,2,Conspiracy Pseudo-Science,FactCheck.org,2023-09-12,Federal Communications Commission (FCC) Radio Frequency Safety Guide | World Health Organization Electromagnetic Fields and Public Health | International Commission on Non-Ionizing Radiation Protection (ICNIRP),Radio frequencies are non-ionizing radiation incapable of breaking chemical bonds or creating viral biological pathogens. COVID-19 is an infectious disease caused by the SARS-CoV-2 airborne virus.,"5g, telecom, covid-conspiracy, health-myth"
NEWS-037,Technology & AI,CrowdStrike software update causes unprecedented worldwide IT outage grounding flights and halting hospitals,A defective Falcon sensor update caused 8.5 million Windows systems to crash with Blue Screen of Death (BSOD).,Verified & Accurate,badge-credible,99,Neutral,Associated Press,2024-07-19,CrowdStrike Falcon Sensor Channel File 291 Technical Root Cause Analysis | Microsoft Official Blog — Helping Customers Through the CrowdStrike Outage | Federal Aviation Administration (FAA) Air Traffic Status Reports,"A logic flaw in CrowdStrike's rapid response content update triggered an out-of-bounds memory read error in the Windows kernel, paralyzing commercial aviation, healthcare records, banks, and broadcasts globally.","crowdstrike, cybersecurity, it-outage, windows, tech-crisis"
NEWS-038,Politics & Elections,US House of Representatives passes bill to ban TikTok unless ByteDance divests US operations,The Protecting Americans from Foreign Adversary Controlled Applications Act was enacted and signed into law by President Biden.,Verified & Accurate,badge-credible,98,Neutral,Reuters,2024-04-24,"Public Law 118-50 (Div. H) — Protecting Americans from Foreign Adversary Controlled Applications Act | White House Signing Statement (April 24, 2024) | Congressional Record H2502-H2514","The statute establishes a mandatory 270-day divestiture timeline for ByteDance with potential 90-day extension, or TikTok will face a ban on American app stores and hosting services.","tiktok, bytedance, national-security, social-media, congress"
NEWS-039,Science & Health,India's Chandrayaan-3 rover confirms presence of sulfur and oxygen at lunar south pole,The Pragyan lunar rover's laser-induced breakdown spectroscope unequivocally detected sulfur in moon regolith.,Verified & Accurate,badge-credible,97,Neutral,Nature News,2023-08-31,Indian Space Research Organisation (ISRO) Chandrayaan-3 Mission Update | Science Magazine Space Research News | Nature Geoscience Lunar Surface Analysis,"ISRO confirmed that the LIBS instrument aboard Pragyan carried out the first in-situ elemental measurements near the south pole, registering unambiguous spectral signatures of sulfur, iron, aluminum, calcium, and oxygen.","chandrayaan3, isro, moon, space, pragyan"
NEWS-040,Viral Hoaxes & Media,Secret Antarctic pyramid discovered under melting snow proves ancient civilization lived at South Pole,"Satellite images revealed a man-made four-sided limestone pyramid standing over 1,200 meters tall in Antarctica.",False & Fabricated,badge-fake,6,Pseudoscientific Sensationalism,Live Science,2023-10-05,British Antarctic Survey (BAS) Geomorphology Data | USGS Polar Glacier Topographic Mapping | Snopes Myth Debunking,Geologists from the British Antarctic Survey confirmed the feature is a 'nunatak'—a natural pyramid-shaped mountain peak formed through standard freeze-thaw erosion in the Ellsworth Mountains.,"antarctica, pyramid, geology, nunatak, archaeology-hoax"
NEWS-041,Climate & Environment,Plastic-eating bacteria engineered in laboratory can clean up entire Pacific garbage patch within six months,A newly synthesized super-bacterium will dissolve all ocean plastic debris by the end of this year.,Likely Misleading,badge-fake,26,Sensationalist Tech Solutionism,Science Feedback,2024-05-14,Nature Catalysis — Enzymatic plastic degradation studies | The Ocean Cleanup Project Feasibility Reports | UN Environment Programme (UNEP) Plastic Pollution Assessments,"While bacterial enzymes such as PETase show promise in controlled high-temperature bioreactors, deploying living genetically modified bacteria into open marine ecosystems faces enormous biohazard hurdles and sluggish enzymatic kinetics in cold seawater.","plastic-eating-bacteria, petase, ocean-cleanup, biotech"
NEWS-042,Economy & Finance,Sam Bankman-Fried sentenced to 25 years in federal prison for FTX cryptocurrency collapse,FTX founder Sam Bankman-Fried received a 25-year prison term for orchestrating a multi-billion dollar fraud.,Verified & Accurate,badge-credible,99,Neutral,Associated Press,2024-03-28,U.S. District Court for the Southern District of New York (SDNY) Sentencing Record | Department of Justice U.S. Attorney's Office SDNY Press Release | Wall Street Journal Legal Coverage,"US District Judge Lewis Kaplan handed down the 25-year sentence and ordered an $11 billion forfeiture after a jury convicted Bankman-Fried on seven counts of wire fraud, securities fraud, and money laundering conspiracy.","ftx, sam-bankman-fried, crypto-fraud, sdny, doj"
NEWS-043,Global Affairs,NASA and DARPA select Lockheed Martin to build nuclear-powered thermal rocket for Mars exploration,The DRACO project officially contracted defense aerospace contractors to design a fission-powered spacecraft engine for deep space voyages.,Verified & Accurate,badge-credible,96,Neutral,Aviation Week,2023-07-26,DARPA News — Demonstration Rocket for Agile Cislunar Operations (DRACO) Contract Award | NASA Space Technology Mission Directorate Project Update | Lockheed Martin Space Systems Press Release,"NASA and DARPA partnered on the DRACO initiative, awarding Lockheed Martin the prime role to develop an in-space nuclear thermal propulsion (NTP) flight demonstration planned for 2027.","nasa, darpa, nuclear-rocket, mars, lockheed-martin"
NEWS-044,Science & Health,Artificial sweeteners like aspartame definitively cause leukemia and brain cancer in normal amounts,Consuming diet soda with aspartame directly triggers deadly cancerous tumors in human consumers.,Likely Misleading,badge-fake,34,Fearmongering Nutritional Health,Healthline Fact Check,2023-07-14,IARC Monographs Volume 134 — Aspartame classification (Group 2B) | Joint FAO/WHO Expert Committee on Food Additives (JECFA) Risk Assessment | U.S. FDA Response on Sweetener Safety,"While WHO's IARC classified aspartame as 'possibly carcinogenic to humans' (Group 2B based on limited evidence), the joint FAO/WHO committee (JECFA) reaffirmed that the acceptable daily intake of 40 mg/kg body weight is safe. A person would need to drink 9 to 14 cans of diet soda daily to exceed safety thresholds.","aspartame, sweeteners, who, diet-soda, cancer-risk"
NEWS-045,Viral Hoaxes & Media,NASA confirmed the sun will shut down for three days of absolute planetary darkness next December,An official NASA bulletin warned that an unprecedented solar storm will block out the sun globally for 72 hours.,False & Fabricated,badge-fake,2,Doomsday Clickbait,Snopes,2024-09-01,NASA Space Weather Operations & Living With a Star Documentation | NOAA Space Weather Prediction Center (SWPC) | PolitiFact Apocalypse Hoaxes Archive,"This recurrent viral internet hoax has circulated periodically since at least 2012. Solar physics dictates that stars cannot 'turn off' for three days, and NASA has never published any such warning.","nasa, solar-storm, three-days-darkness, doomsday-hoax"
